pair,x,y,z,offset,residue,data_number,baseline
S1S2,-5.746048841151249,33.58346958023513,0.6391292461655418,-4.889511405422596,[7.62995726e-09],10,34.07748512617646
S1S2,0.03676333847065322,-0.022421611031649646,-0.2538021956647482,-0.2574292644999972,[],1,0.25742926449999726
S1S2,-5.745926332858573,33.58217737189449,0.6306696229205109,-4.881366998490911,[4.93458906e-10],11,34.07603337586836
S1S2,-9.992693706704582,26.969548096615924,-8.021346151185428,6.056833794500022,[],3,29.858875500072507
S1S2,0.5622999899920931,0.24295612992384294,0.5294983924828793,0.8096774095000009,[],1,0.8096774095000012
S1S2,-5.748229367380395,33.5794998112216,0.6357377146354963,-4.886536717880354,[3.44073145e-10],5,34.07387725037548
S1S2,-2.5437755368376225,-0.24013743757140651,-2.0121611807667015,-3.2522688370000017,[],1,3.2522688370000012
S1S2,-13.319536262567658,3.503635910050487,2.1304404890369826,0.25707827071343914,[],2,13.936437404063431
S1S2,-0.08710023925263277,-0.04543181607313499,-0.25548666801521663,-0.2737223760000021,[],1,0.27372237600000215
S1S2,0.542520099242437,2.06723879745599,4.273747698275565,4.7783599375,[],1,4.778359937499999
S1S2,-0.07787764533431885,-0.05458056133325972,-0.38768393638871457,-0.399177654499999,[],1,0.399177654499999
S1E1,125.33326936477046,305.93354182589457,-5.915415933200478,-15.298602394609219,[2.3049435e-08],6,330.6641083780658
S1E1,-1.004319890616081,10.196507713021703,32.21653479748499,33.80654585050001,[],1,33.80654585050001
S1E1,156.98462135304877,62.151020528770616,90.98260410914303,30.11304237008204,[],2,191.79352164400342
S1E1,125.6731410843751,305.8233947589343,-8.094648986708421,-13.117787306799784,[],3,330.73737392999635
S1E1,0.8843094287405684,-0.5393319232601517,-6.104986217194533,-6.192232133999999,[],1,6.192232133999998
S1E1,1.5112653331313908,-0.7973677765779695,-4.9086986376570545,-5.197599503000001,[],1,5.197599503
S1E1,0.35023362470727903,8.950016698086584,31.155011692121466,32.41697419599999,[],1,32.416974196
S1E1,4.412886793625546,3.092772479987535,21.967861453004325,22.619145613500002,[],1,22.6191456135
S1E2,70.39474274046978,269.71535259710043,-2.8048494590444477,-25.942663058473443,[2.08409211e-08],6,278.76452143801055
S1E2,105.30629960920885,47.2504103959004,70.41464641460097,30.021655693584904,[],2,135.20443945987407
S1E2,3.7058927958434644,2.464416526797284,14.748879836170081,15.577962133772006,[],2,15.405727722299277
S1E2,0.2516488400163439,6.430739829971616,22.385407910422057,23.292149518999988,[],1,23.292149518999988
S1W1,-175.06975050558464,216.3183580504749,-10.791995944161755,-29.542664027570396,[2.37202895e-09],6,278.4950928619747
S1W1,-0.45476504821459685,4.61707008400313,14.58793571388702,15.307906970000005,[],1,15.307906970000005
S1W1,-175.07242401477518,216.3210684210479,-10.79441441771354,-29.539911173655355,[],4,278.4989724861732
S1W1,-165.14467585420266,189.5601313060339,-71.29213153692716,36.38876860703749,[],3,261.32044574206014
S1W1,-170.62831368478237,214.95020382278318,-38.88625448070216,-1.4099832976422704,[],3,277.18180377129096
S1W1,-116.13297373314401,219.53488767888882,-72.66454362480467,28.36100962837527,[],2,258.771270423296
S1W1,-175.07183745755916,216.3198301490222,-10.800914068922708,-29.533576772777366,[4.60777602e-09],5,278.49789394390774
S1W1,0.7888032148099491,7.137994989223782,16.96434702014298,18.421787448500005,[],1,18.421787448500005
S1W1,-170.15843795031725,177.79554451716143,-73.98291899279974,42.047716891941874,[],3,256.97980846467505
S1W2,-69.09012059135335,199.3367347352703,0.462833205551334,9.0884300684977,[8.10054587e-08],18,210.97107098562927
S1W2,5.732865551059881,7.270177068050253,23.705528432619246,25.4494263255,[],1,25.449426325500003
S1W2,16.00462219272267,18.498096236398442,30.90994480581554,37.1418050003952,[],2,39.41766334781163
S1W2,-69.09507911413762,199.33189881485418,0.4553193112152343,9.095256697096033,[],4,210.96810934024927
S1W2,-69.09381401993116,199.33837802161034,0.47365656465696304,9.075814710055937,[1.17166022e-08],5,210.97385723982129
S1W2,-69.08807490095211,199.33829228303256,0.4711493948393155,9.079243640135644,[1.07838902e-08],16,210.97189112672697
S1W2,-69.09132519732896,199.3344717165866,0.46301373771373733,9.087594817456193,[4.24826531e-08],22,210.96932766109634
S1W2,-69.08784494841119,199.33592640836713,0.47505200482777354,9.074877386977192,[2.71707123e-09],7,210.96958916181487
S1W2,-69.0897482437093,199.35479385883576,0.4708218211597739,9.08176835244322,[4.89780432e-06],10,210.98803003977574
S1W2,-87.83387757052257,174.20728366203994,-30.73700657301896,46.87797381631579,[],2,197.50375009870015
S1W2,-2.6257078946097323,1.6013943114188856,18.127037873836827,18.386090062000005,[],1,18.386090062000005
S1W2,-69.08949304893416,199.3377408719919,0.46413504904097636,9.088066946614077,[3.18118951e-09],11,210.97181898787304
S1W2,-84.46226003354255,175.40193565552298,-30.87513389817368,48.68377198554341,[],3,197.11160872690408
S1W2,-8.751151559560256,4.6172476193078476,28.424370490479024,30.097283381999993,[],1,30.097283381999986
S1W2,-69.09311274060428,199.3322482992368,0.45759206752123305,9.092879451129392,[5.64106448e-10],5,210.96780045948884
